wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933347.878113,28631,288389,0.0,0.0,0.0,0.0,0.0,0.0,304,0
1773933347.8886871,28632,288399,0.0,0.0,0.0,0.0,0.0,0.0,304,0
1773933347.8987014,28633,288409,0.0,0.0,0.0,0.0,0.0,0.0,273,0
1773933347.9091036,28634,288419,0.0,0.0,0.0,0.0,0.0,0.0,273,0
1773933347.9181087,28635,288429,0.0,0.0,0.0,0.0,0.0,0.0,273,0
1773933347.9289258,28636,288439,0.0,0.0,0.0,0.0,0.0,0.0,273,0
1773933347.9384644,28637,288449,0.0,0.0,0.0,0.0,0.0,0.0,247,0
1773933347.948057,28638,288459,0.0,0.0,0.0,0.0,0.0,0.0,247,0
1773933347.958054,28639,288469,0.0,0.0,0.0,0.0,0.0,0.0,247,0
1773933347.9690151,28640,288479,0.0,0.0,0.0,0.0,0.0,0.0,247,0
1773933347.9783132,28641,288489,0.0,0.0,0.0,0.0,0.0,0.0,223,0
1773933347.9881656,28642,288499,0.0,0.0,0.0,0.0,0.0,0.0,223,0
1773933347.9983027,28643,288509,0.0,0.0,0.0,0.0,0.0,0.0,223,0
1773933348.008204,28644,288519,0.0,0.0,0.0,0.0,0.0,0.0,223,0
1773933348.018471,28645,288529,0.0,0.0,0.0,0.0,0.0,0.0,194,0
1773933348.0282269,28646,288539,0.0,0.0,0.0,0.0,0.0,0.0,194,0
1773933348.0414016,28647,288549,0.0,0.0,0.0,0.0,0.0,0.0,194,0
1773933348.0478506,28648,288559,0.0,0.0,0.0,0.0,0.0,0.0,194,0
1773933348.0582657,28649,288569,0.0,0.0,0.0,0.0,0.0,0.0,179,0
1773933348.0681233,28650,288579,0.0,0.0,0.0,0.0,0.0,0.0,179,0
1773933348.0781736,28651,288589,0.0,0.0,0.0,0.0,0.0,0.0,179,0
1773933348.0879166,28652,288599,0.0,0.0,0.0,0.0,0.0,0.0,179,0
1773933348.0983343,28653,288609,0.0,0.0,0.0,0.0,0.0,0.0,161,0
1773933348.1078386,28654,288619,0.0,0.0,0.0,0.0,0.0,0.0,161,0
1773933348.1184006,28655,288629,0.0,0.0,0.0,0.0,0.0,0.0,161,0
1773933348.1278684,28656,288639,0.0,0.0,0.0,0.0,0.0,0.0,161,0
1773933348.1382787,28657,288649,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933348.1480284,28658,288659,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933348.158028,28659,288669,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933348.16789,28660,288679,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933348.178413,28661,288689,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933348.1879263,28662,288699,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933348.197832,28663,288709,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933348.2081196,28664,288719,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933348.2185767,28665,288729,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933348.2280693,28666,288739,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933348.2380223,28667,288749,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933348.2480063,28668,288759,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933348.25835,28669,288769,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933348.2681713,28670,288779,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933348.2780292,28671,288789,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933348.2880712,28672,288799,0.0,0.0,0.0,0.0,0.0,0.0,144,0
